"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"980300",100,400711,"1",
"980010",1,400712,"1",
"980020",86,400712,"1","T"
"980060",1,400712,"1",
"980090",100,400712,"1",
"980220",100,400712,"1",
"980250",100,400712,"1",
"980280",100,400712,"1",
"980300",100,400712,"1",
"800940",4820,400721,"1",
"900000",63000,400721,"1",
"910030",600,400721,"1",
"950001",-800,400721,"1",
"980000",63000,400721,"1",
"980010",2,400721,"1",
"980020",32,400721,"1",
"980030",1,400721,"1",
"980040",1,400721,"1",
"980050",1,400721,"1",
"980070",63800,400721,"1",
"980090",100,400721,"1",
"980210",100,400721,"1",
"980230",100,400721,"1",
"980280",100,400721,"1",
"980310",100,400721,"1",
"980330",100,400721,"1",
"800940",4820,400722,"1",
"900000",63000,400722,"1",
"910030",600,400722,"1",
"950001",-800,400722,"1",
"980000",63000,400722,"1",
"980010",2,400722,"1",
"980020",32,400722,"1",
"980030",1,400722,"1",
"980040",1,400722,"1",
"980050",1,400722,"1",
"980070",63800,400722,"1",
"980090",100,400722,"1",
"980210",100,400722,"1",
"980230",100,400722,"1",
"980280",100,400722,"1",
"980310",100,400722,"1",
"980330",100,400722,"1",
"800940",268,400731,"1",
"900000",3500,400731,"1",
"900040",16800,400731,"1",
"980000",20300,400731,"1",
"980010",2,400731,"1",
"980020",61,400731,"1",
"980030",1,400731,"1",
"980040",1,400731,"1",
"980070",20300,400731,"1",
"980090",100,400731,"1",
"980210",100,400731,"1",
"980240",100,400731,"1",
"980280",100,400731,"1",
"980300",100,400731,"1",
"980330",100,400731,"1",
"800940",268,400732,"1",
"900000",3500,400732,"1",
"900040",16800,400732,"1",
"980000",20300,400732,"1",
"980010",2,400732,"1",
"980020",61,400732,"1",
"980030",1,400732,"1",
"980040",1,400732,"1",
"980070",20300,400732,"1",
"980090",100,400732,"1",
"980210",100,400732,"1",
"980240",100,400732,"1",
"980280",100,400732,"1",
"980300",100,400732,"1",
"980330",100,400732,"1",
"800940",3060,400741,"1",
"900000",40000,400741,"1",
"980000",40000,400741,"1",
"980010",1,400741,"1",
"980020",57,400741,"1",
"980030",1,400741,"1",
"980040",1,400741,"1",
"980070",40000,400741,"1",
"980090",100,400741,"1",
"980210",100,400741,"1",
"980240",100,400741,"1",
"980280",100,400741,"1",
"980310",100,400741,"1",
"980330",100,400741,"1",
"800940",3060,400742,"1",
"900000",40000,400742,"1",
"980000",40000,400742,"1",
"980010",1,400742,"1",
"980020",57,400742,"1",
"980030",1,400742,"1",
"980040",1,400742,"1",
"980070",40000,400742,"1",
"980090",100,400742,"1",
"980210",100,400742,"1",
"980240",100,400742,"1",
"980280",100,400742,"1",
"980310",100,400742,"1",
"980330",100,400742,"1",
"900030",14556,400751,"1",
"900090",4824,400751,"1",
"950022",449,400751,"1",
"980000",19380,400751,"1",
"980010",3,400751,"1",
"980020",71,400751,"1",
"980040",1,400751,"1",
"980060",2,400751,"1",
"980070",18931,400751,"1",
"980090",100,400751,"1",
"980210",100,400751,"1",
"980240",100,400751,"1",
"980280",100,400751,"1",
"980290",100,400751,"1",
"980330",100,400751,"1",
"900030",14556,400752,"1",
"900090",4824,400752,"1",
"950022",449,400752,"1",
"980000",19380,400752,"1",
"980010",3,400752,"1",
"980020",71,400752,"1",
"980040",1,400752,"1",
"980060",2,400752,"1",
"980070",18931,400752,"1",
"980090",100,400752,"1",
"980210",100,400752,"1",
"980240",100,400752,"1",
"980280",100,400752,"1",
"980290",100,400752,"1",
"980330",100,400752,"1",
"900030",1200,400761,"1",
"980000",1200,400761,"1",
"980010",3,400761,"1",
"980020",86,400761,"1","T"
"980040",2,400761,"1",
"980060",2,400761,"1",
"980070",1200,400761,"1",
"980090",100,400761,"1",
"980210",100,400761,"1",
"980240",100,400761,"1",
"980280",100,400761,"1",
"980310",100,400761,"1",
"980330",100,400761,"1",
"900030",1200,400762,"1",
"980000",1200,400762,"1",
"980010",3,400762,"1",
"980020",86,400762,"1","T"
"980040",2,400762,"1",
"980060",2,400762,"1",
"980070",1200,400762,"1",
"980090",100,400762,"1",
"980210",100,400762,"1",
"980240",100,400762,"1",
"980280",100,400762,"1",
"980310",100,400762,"1",
"980330",100,400762,"1",
"900030",17400,400771,"1",
"980000",17400,400771,"1",
"980010",1,400771,"1",
"980020",86,400771,"1","T"
"980040",6,400771,"1",
"980060",1,400771,"1",
"980070",17400,400771,"1",
"980090",100,400771,"1",
"980210",100,400771,"1",
"980240",100,400771,"1",
"980280",100,400771,"1",
"980300",100,400771,"1",
"980330",100,400771,"1",
